Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
reshist_addr1_id,residential_history_derived_scores_daic_use_only,,text,Residential history id 1,,,,,,,,,,,,,@READONLY
reshist_addr1_valid,residential_history_derived_scores_daic_use_only,,yesno,Residential history valid 1,,,,,,,,,,,,,@READONLY
reshist_addr1_status,residential_history_derived_scores_daic_use_only,,text,Residential history status message 1,,,,,,,,,,,,,@READONLY
reshist_addr1_years,residential_history_derived_scores_daic_use_only,,text,Residential history years of residence 1,,,integer,1,20,,,,,,,,@READONLY
reshist_addr1_elevation,residential_history_derived_scores_daic_use_only,,text,Residential history derived elevation 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_D1A,residential_history_derived_scores_daic_use_only,,text,Residential history derived - gross residential density 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_WalkIndex,residential_history_derived_scores_daic_use_only,,text,Residential history derived - national walkability index 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_GRNDTOT,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Uniform Crime Reports: grand total 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_P1TOT,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Uniform Crime Reports: total adult offenses 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_P1VLNT,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Uniform Crime Reports: adult violent crimes 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_DRUGTOT,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Uniform Crime Reports: durg abose violations total 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_DRGSALE,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Uniform Crime Reports: drug sale total 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_MJSALE,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Uniform Crime Reports: Marijuana sale 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_DRGPOSS,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Uniform Crime Reports: drug possession total 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_DUI,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Uniform Crime Reports: DUI 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_edu_l,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of population aged >=25 y with <9 y of education 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_edu_h,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of population aged >=25 y with at least a high school diploma 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_work_c,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of employed persons aged >=16 y in white collar occupations 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_income,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Median family income 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_in_dis,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Income disparity defined by Singh as the log of 100 x ratio of the number of households with <10000 annual income to the number of households with >50000 annual income. 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_home_v,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Median home value 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_rent,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Median gross rent 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_mortg,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Median monthly mortgage 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_home_o,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of owner 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_crowd,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of occupied housing units with >1 person per room (crowding) 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_unemp,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of civilian labor force population aged >=16 y unemployed (unemployment rate) 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_pov,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of families below the poverty level 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_b138,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of population below 138% of the poverty threshold 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_sp,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of single 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_ncar,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of occupied housing units without a motor vehicle 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_ntel,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of occupied housing units without a telephone 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_nplumb,residential_history_derived_scores_daic_use_only,,text,Residential history derived - Area Deprivation Index: Percentage of occupied housing units without complete plumbing (log) 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_wSUM,residential_history_derived_scores_daic_use_only,,text,"Residential history derived - Area Deprivation Index: scaled weighted sum based on Kind et al., Annals of Internal Medicine, 2014 1",,,number,,,,,,,,,,@READONLY
reshist_addr1_ADI_perc,residential_history_derived_scores_daic_use_only,,text,"Residential history derived - Area Deprivation Index: national percentiles, higher means higher value of ADI 1",,,number,,,,,,,,,,@READONLY
reshist_addr1_PopDensity,residential_history_derived_scores_daic_use_only,,text,Residential history derived - UN adjusted population density 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_NO2,residential_history_derived_scores_daic_use_only,,text,Residential history derived - 3 years average of ground level NO2  1,,,number,,,,,,,,,,@READONLY
reshist_addr1_PM25,residential_history_derived_scores_daic_use_only,,text,Residential history derived - annual average of PM 2.5 1,,,number,,,,,,,,,,@READONLY
reshist_addr1_proxRd,residential_history_derived_scores_daic_use_only,,text,"Residential history derived - proximity to major roads, in meters 1",,,number,,,,,,,,,,@READONLY
reshist_addr2_id,residential_history_derived_scores_daic_use_only,,text,Residential history id 2,,,,,,,,,,,,,@READONLY
reshist_addr2_valid,residential_history_derived_scores_daic_use_only,,yesno,Residential history valid 2,,,,,,,,,,,,,@READONLY
reshist_addr2_status,residential_history_derived_scores_daic_use_only,,text,Residential history status message 2,,,,,,,,,,,,,@READONLY
reshist_addr2_years,residential_history_derived_scores_daic_use_only,,text,Residential history years of residence 2,,,integer,1,20,,,,,,,,@READONLY
reshist_addr2_elevation,residential_history_derived_scores_daic_use_only,,text,Residential history derived elevation 2,,,number,,,,,,,,,,@READONLY
reshist_addr2_D1A,residential_history_derived_scores_daic_use_only,,text,Residential history derived- gross residential density 2,,,number,,,,,,,,,,@READONLY
reshist_addr2_WalkIndex,residential_history_derived_scores_daic_use_only,,text,Residential history derived- national walkability index 2,,,number,,,,,,,,,,@READONLY
